128	4266.66667	3336	34.844	42.653	43.028
129	4300	20592	35.762	42.848	43.155
130	4333.33333	3520	35.242	42.977	43.32
131	4366.66667	3120	35.501	43.167	43.345
132	4400	83184	36.344	42.909	43.106
133	4433.33333	2888	35.302	43.216	43.421
134	4466.66667	3008	35.366	42.841	42.959
135	4500	16552	36.174	42.803	43.02
136	4533.33333	3024	35.392	42.979	43.218
137	4566.66667	2584	35.391	42.928	43.2
138	4600	17552	35.998	42.641	42.904
139	4633.33333	2960	35.108	42.805	43.303
140	4666.66667	3016	35.049	42.74	43.161
141	4700	17456	35.894	42.659	42.89
142	4733.33333	2224	35.624	43.24	43.675
143	4766.66667	2432	35.624	43.055	43.435
144	4800	85232	36.449	42.689	42.724
145	4833.33333	2256	35.558	43.071	43.102
146	4866.66667	2128	35.781	43.097	43.196
147	4900	14744	36.242	42.84	42.945
148	4933.33333	2336	35.495	43.148	43.282
149	4966.66667	2096	35.397	43.192	43.272
150	5000	14792	36.07	42.9	43.013
