151	5033.33333	1976	35.412	43.029	43.091
152	5066.66667	1728	35.48	43.014	43.08
153	5100	14448	35.964	43.026	43.096
154	5133.33333	1912	35.481	43.426	43.523
155	5166.66667	1768	35.932	43.374	43.459
156	5200	85160	36.258	42.888	42.929
157	5233.33333	2048	35.72	43.209	43.258
158	5266.66667	1968	35.809	43.161	43.156
159	5300	13624	36.253	43	43.024
160	5333.33333	1712	35.628	42.967	43.035
161	5366.66667	1784	35.382	42.86	42.941
162	5400	13248	36.062	42.842	42.948
163	5433.33333	1752	35.373	43.029	43.102
164	5466.66667	1856	35.417	43.106	43.168
165	5500	13872	35.99	43.109	43.142
166	5533.33333	1368	36.067	43.624	43.657
167	5566.66667	1536	36.197	43.609	43.516
168	5600	85800	36.308	42.899	42.896
169	5633.33333	1384	35.997	43.109	43.131
170	5666.66667	1552	35.86	42.711	42.829
171	5700	11832	36.33	42.764	42.879
172	5733.33333	1776	35.731	43.014	43.145
173	5766.66667	1920	35.479	42.758	42.787
174	5800	12544	36.162	42.828	42.923
175	5833.33333	1472	35.493	42.683	42.831
176	5866.66667	1288	35.449	42.617	42.723
177	5900	13184	35.993	42.647	42.785
178	5933.33333	1176	35.911	43.111	43.292
179	5966.66667	1216	36.178	43.22	43.315
180	6000	84752	36.275	42.722	42.814
181	6033.33333	1216	36.153	42.963	42.969
182	6066.66667	1160	36.029	42.884	42.872
183	6100	11088	36.383	42.832	42.783
184	6133.33333	1016	36.147	42.927	42.853
185	6166.66667	1312	35.746	42.75	42.694
186	6200	10488	36.196	42.867	42.841
187	6233.33333	1080	35.72	42.969	42.911
188	6266.66667	1504	35.541	42.767	42.803
189	6300	12808	36.096	42.694	42.758
190	6333.33333	1392	36.033	42.999	43.14
191	6366.66667	1040	36.242	43.108	43.196
192	6400	84352	36.256	42.649	42.758
193	6433.33333	768	36.2	42.826	42.896
194	6466.66667	688	36.014	42.773	42.789
195	6500	9864	36.38	42.711	42.748
196	6533.33333	864	35.979	42.804	42.753
197	6566.66667	928	35.918	42.74	42.738
198	6600	10944	36.26	42.57	42.64
199	6633.33333	808	36.043	42.735	42.745
200	6666.66667	1384	35.524	42.451	42.482
201	6700	9272	36.157	42.575	42.616
202	6733.33333	880	36.169	43.017	43.059
203	6766.66667	616	36.558	43.127	43.13
204	6800	85432	36.304	42.609	42.66
205	6833.33333	304	36.496	42.904	42.859
206	6866.66667	768	36.197	42.929	42.879
207	6900	11344	36.571	42.861	42.832
208	6933.33333	432	36.34	42.91	42.874
209	6966.66667	432	36.046	42.812	42.851
210	7000	13624	36.105	42.638	42.817
211	7033.33333	512	36.083	42.789	42.975
212	7066.66667	552	35.705	42.491	43.059
213	7100	17872	35.775	42.232	43.052
214	7133.33333	440	36.595	43.553	43.743
215	7166.66667	328	36.66	43.291	43.936
216	7200	75160	36.39	43.56	43.458
217	7233.33333	712	35.768	43.465	43.671
218	7266.66667	472	35.543	43.317	43.694
219	7300	14328	35.669	43.101	43.593
220	7333.33333	504	35.345	42.873	43.634
221	7366.66667	496	34.936	42.647	43.562
222	7400	19936	35.265	42.632	43.47
223	7433.33333	416	34.766	42.684	43.722
224	7466.66667	712	34.56	42.403	43.541
225	7500	26968	35.043	42.349	43.431
226	7533.33333	528	34.908	43.156	44.185
227	7566.66667	488	34.946	43.203	44.133
228	7600	76128	35.971	43.707	44.168
229	7633.33333	936	34.643	43.147	44.032
230	7666.66667	960	34.318	42.778	43.861
231	7700	25784	34.905	42.917	43.765
232	7733.33333	1048	34.013	42.656	43.747
233	7766.66667	1216	33.829	42.32	43.605
234	7800	35536	34.705	42.541	43.636
235	7833.33333	1832	33.692	42.393	43.714
236	7866.66667	1760	33.463	42.167	43.613
237	7900	48648	34.711	42.232	43.579
238	7933.33333	2016	33.319	42.746	44.165
239	7966.66667	1896	33.511	42.694	43.962
240	8000	85896	35.409	43.314	44.436
241	8033.33333	2544	33.37	42.9	44.111
242	8066.66667	2504	33.151	42.738	44.058
